               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.025857,            0.010244,           0.0059406,             0.62164,             0.76582,             0.75716,             0.57847,             0.02868,             0.00596,            0.021157,            0.006139,            0.006139,            0.006139
                 119,            0.028816,            0.011298,           0.0079877,             0.70041,             0.72963,             0.74708,             0.53593,            0.027988,           0.0059425,            0.021167,            0.006106,            0.006106,            0.006106
                 120,            0.025374,            0.012529,           0.0066251,             0.80835,             0.63634,             0.72352,             0.54017,            0.026764,           0.0064096,            0.021074,            0.006073,            0.006073,            0.006073
                 121,            0.023274,            0.010589,           0.0080569,             0.57136,             0.79774,             0.71972,             0.54901,             0.02577,            0.006344,            0.021515,             0.00604,             0.00604,             0.00604
                 122,            0.025563,             0.01137,           0.0076291,             0.55344,              0.8588,             0.72677,             0.56042,            0.027164,           0.0063925,            0.020256,            0.006007,            0.006007,            0.006007
                 123,            0.026311,            0.011456,           0.0058619,             0.69512,             0.76405,             0.73995,             0.56131,            0.029424,           0.0065288,            0.019061,            0.005974,            0.005974,            0.005974
                 124,            0.024532,           0.0094892,           0.0066612,             0.71576,             0.69479,             0.76263,             0.58693,            0.028363,           0.0067202,            0.018785,            0.005941,            0.005941,            0.005941
                 125,            0.025377,            0.011273,           0.0076578,             0.78892,             0.68409,             0.78817,             0.60551,            0.028882,           0.0064346,            0.020667,            0.005908,            0.005908,            0.005908
                 126,            0.027249,            0.011444,           0.0081173,             0.64349,             0.81922,             0.79009,             0.56355,            0.028981,           0.0062397,            0.021028,            0.005875,            0.005875,            0.005875
                 127,            0.026347,            0.010253,           0.0084711,             0.65382,             0.78531,              0.7834,             0.57541,            0.028669,           0.0059542,            0.024282,            0.005842,            0.005842,            0.005842
                 128,            0.028632,            0.011649,           0.0097687,             0.68548,             0.72778,             0.74877,              0.5566,            0.027355,           0.0060162,             0.02718,            0.005809,            0.005809,            0.005809
                 129,            0.024881,           0.0091589,           0.0062982,             0.57308,              0.8914,             0.77465,             0.58456,            0.025655,           0.0059126,            0.028998,            0.005776,            0.005776,            0.005776
                 130,            0.027515,            0.012032,           0.0068297,             0.59935,             0.86113,             0.76167,              0.5452,            0.029195,            0.006095,            0.031291,            0.005743,            0.005743,            0.005743
                 131,            0.027893,            0.012545,           0.0071592,             0.64464,             0.86417,             0.78904,             0.60345,            0.026576,            0.006149,            0.029425,             0.00571,             0.00571,             0.00571
                 132,            0.028288,            0.010648,           0.0070699,             0.71915,             0.83063,             0.79256,             0.63042,            0.028718,            0.006349,            0.023555,            0.005677,            0.005677,            0.005677
                 133,             0.02725,            0.010929,           0.0092767,             0.60955,              0.8908,             0.79153,             0.60379,            0.026956,           0.0066746,            0.020766,            0.005644,            0.005644,            0.005644
                 134,            0.024519,            0.010136,           0.0072591,             0.69197,             0.80075,              0.7894,             0.62137,            0.026038,           0.0067727,            0.021844,            0.005611,            0.005611,            0.005611
                 135,            0.033479,            0.011145,           0.0052759,              0.6813,             0.78278,              0.7633,             0.50825,            0.032165,           0.0068143,            0.024044,            0.005578,            0.005578,            0.005578
